Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin_principales,cg_vive_predio_pr,cg_terredensm,cg_dista_pre_viv,cg_k100,cg_k101,cg_se_define,cg_k102,cg_segsoccam,cg_accesocomp,cg_accesointer,cg_superficie,cg_unidadmedida,grupo1,edad_rango,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,eq_ebmanual,eq_ebestaciona,eq_ecosgranfigr,ct_numt,ct_numl,rc_clacul,ct_k504,ct_k505,ct_prepa_suelo,ct_k506,ct_k507,ct_k508,ct_k509,ct_k510,ct_k510ha,ct_k511,ct_k511ha,ct_k512,ct_k516,ct_k517,ct_k518,ct_k520,ct_afecta_prod,ct_k522,ct_k523,ct_k524,ct_k526,ct_venmernac,ct_venmerint,ct_rdproven1,ct_rdproven2,ct_rdproven3,ct_rdproven4,ct_rdproven5,ct_rdproven6,ct_fconvf,ct_fconvs,ct_seg_agri,ct_kits_agri,ct_presueuti,ct_riego,ct_superf_regada_ha,ct_porc_surc,ct_porc_aspe,ct_porc_micr,ct_porc_gote,ct_porc_nebu,ct_porc_otro,ct_aferti,ct_forg,ct_cant1_fo,ct_umed1_fo,ct_cant2_fo,ct_umed2_fo,ct_cant3_fo,ct_umed3_fo,ct_fqui,ct_cantidad_npk_fq,ct_umed_npk_fq,ct_cantidad_nit_fq,ct_umed_nit_fq,ct_cantidad_fq,ct_umed_fq,ct_cantidad_pot_fq,ct_umed_pot_fq,ct_afito,ct_porg,ct_cantidad_po,ct_umed_po,ct_pqui,ct_cantidad_her_pq,ct_umed_her_pq,ct_color_her_pq,ct_cantidad_ins_pq,ct_umed_ins_pq,ct_color_ins_pq,ct_cantidad_fun_pq,ct_umed_fun_pq,ct_color_fun_pq,ct_cantidad_pq,ct_umed_pq,ct_color_pq,ct_trabocacont,ct_trabfami,ct_piensasem_int,ct_supersem_int,ct_supersemha_int,ct_messiem_int,ct_condcult_int,ct_codcultiv1_int,ct_codcultiv2_int,ct_nclavr,ct_trs,ct_trc,ct_tro,ct_tn,ct_prod,ct_superdida,superdida,ct_sequia,ct_helada,ct_plagas,ct_enfermedades,ct_inundacion,ct_otra,ct_secomun,ct_semejorada,ct_secertificada,ct_sehibrinac,ct_sehibrinter,Ventas,ct_sriego,su_fertilizada,su_plaguicidas,ct_nuevacondicion,fact_exp_fin_cultivo
3045251000993417,3,4,52,51,99,3417,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,230.1,11,11.0,,1.0,1.0,,1.0,1.0,,9.0,9.0,,1.0,,,4,1.0,1,1.0,,1,34,4,2,1,0,0,230.1,1,10,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2,507,1,,0,3.0,7.0,20.0,11.0,230.0,230.0,230.0,230.0,,10350.0,38.0,215.0,19.0,6.0,10350.0,38.0,215.0,19.0,100.0,,,,,,,,,,0,0,1,1,230.0,100.0,,,,,,1,1,3680.0,3.0,,,,,1,1840.0,3.0,920.0,3.0,,,,,1,0.0,,,1.0,230.0,5.0,2.0,230.0,5.0,2.0,230.0,5.0,2.0,,,,9.0,,1,230.0,230.0,7.0,1.0,507.0,,507.0,1.0,,,4.0,1011.47727272727,0.0,,,,,,,,,,230.0,,,2022.95454545454,230.0,230.0,230.0,1,1.0
9025051000993352,9,2,50,51,99,3352,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,150.0,7,7.0,,1.0,1.0,,,,,6.0,6.0,,,2.0,,4,1.0,0,,99.0,1,64,4,2,0,1,1,150.0,1,9,4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1,507,1,,0,3.0,5.0,20.0,10.0,49.0,49.0,49.0,49.0,,1470.0,37.0,220.0,19.0,1.0,1470.0,37.0,220.0,19.0,100.0,,,,,,,,,,0,0,1,1,49.0,100.0,,,,,,1,0,,,,,,,1,,,9830.0,2.0,,,9800.0,2.0,1,0.0,,,1.0,,,,24.0,5.0,4.0,,,,,,,6.0,,1,49.0,49.0,2.0,1.0,507.0,,507.0,,2.0,,4.0,147.0,0.0,,,,,,,,,,49.0,,,147.0,49.0,49.0,49.0,1,1.0
9025051000993383,9,2,50,51,99,3383,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,160.0,24,24.0,,1.0,1.0,,3.0,3.0,,20.0,20.0,,,2.0,,4,1.0,0,,35.0,1,45,4,3,0,1,1,160.0,1,9,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,507,1,,0,2.0,5.0,20.0,9.0,109.0,109.0,109.0,109.0,,6000.0,37.0,200.0,19.0,2.0,6000.0,37.0,200.0,19.0,100.0,,,,,,,,,,0,0,1,1,109.0,100.0,,,,,,1,0,,,,,,,1,86710.0,2.0,,,,,,,1,0.0,,,1.0,218.0,5.0,3.0,436.0,5.0,2.0,164.0,5.0,3.0,,,,13.0,,1,109.0,109.0,5.0,1.0,507.0,,507.0,,2.0,,4.0,545.454545454546,0.0,,,,,,,,,109.0,,,,772.727272727273,109.0,109.0,109.0,1,1.0
9045055000993978,9,4,50,55,99,3978,0,,,,,,,,,,,,,,,,14.0,2,1.0,1.0,2.0,1.0,1.0,,,,,,,,2.0,,4,1.0,1,1.0,,1,56,4,3,0,1,1,14.0,1,6,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,507,1,,0,3.0,6.0,20.0,9.0,2.0,2.0,2.0,2.0,,70.0,35.0,100.0,19.0,2.0,70.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,2,0,,,,,,,,1,0,,,,,,,1,24.0,3.0,12.0,3.0,,,,,1,0.0,,,1.0,1.0,5.0,1.0,1.0,5.0,1.0,,,,,,,,,0,,,,,,,507.0,,2.0,,4.0,3.18181818181818,0.0,,,,,,,,,,2.0,,,8.636363636363633,,2.0,2.0,1,1.0
9045061000992458,9,4,50,61,99,2458,0,,,,,,,,,,,,,,,,500.0,7,7.0,,2.0,2.0,,5.0,5.0,,,,,,2.0,,4,1.0,1,1.0,,1,59,4,2,1,0,0,500.0,1,10,3,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1,1,507,1,,0,1.0,7.0,20.0,11.0,9.0,9.0,9.0,9.0,,900.0,35.0,100.0,19.0,2.0,900.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,6,1,9.0,100.0,,,,,,1,0,,,,,,,1,18.0,3.0,9.0,3.0,,,,,1,0.0,,,1.0,9.0,5.0,3.0,9.0,5.0,3.0,,,,,,,,,1,9.0,9.0,7.0,1.0,507.0,,507.0,,2.0,,4.0,40.9090909090909,0.0,,,,,,,,9.0,,,,,40.9090909090909,9.0,9.0,9.0,1,1.0
9045061000992500,9,4,50,61,99,2500,0,,,,,,,,,,,,,,,,491.0,7,7.0,,1.0,1.0,,2.0,2.0,,4.0,4.0,,,2.0,,4,1.0,1,1.0,,1,60,5,3,0,1,1,491.0,1,10,3,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,6,2,507,1,,1,2.0,5.0,20.0,11.0,15.0,15.0,15.0,15.0,,900.0,35.0,100.0,19.0,2.0,900.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,2,1,15.0,100.0,,,,,,1,0,,,,,,,1,120.0,3.0,60.0,3.0,60.0,3.0,,,1,0.0,,,1.0,15.0,5.0,3.0,15.0,5.0,5.0,,,,,,,,,0,,,,,,,507.0,,2.0,,4.0,40.9090909090909,0.0,,,,,,,,,15.0,,,,81.8181818181818,15.0,15.0,15.0,1,1.0
9045061000992591,9,4,50,61,99,2591,0,,,,,,,,,,,,,,,,49.8,2,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,2.0,,4,1.0,0,,99.0,1,57,4,2,0,1,1,49.8,1,7,3,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,4,2,507,1,,0,3.0,4.0,20.0,7.0,2.0,2.0,2.0,2.0,,200.0,35.0,100.0,19.0,5.0,200.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,6,1,2.0,100.0,,,,,,1,0,,,,,,,1,1.0,3.0,1.0,3.0,1.0,3.0,,,1,0.0,,,1.0,2.0,5.0,4.0,2.0,5.0,4.0,,,,,,,,,1,2.0,2.0,4.0,1.0,507.0,,507.0,,2.0,,4.0,9.09090909090909,0.0,,,,,,,,,,2.0,,,9.09090909090909,2.0,2.0,2.0,1,1.0
9045061000992885,9,4,50,61,99,2885,0,,,,,,,,,,,,,,,,310.0,6,6.0,,1.0,1.0,,5.0,5.0,,,,,,2.0,,4,1.0,1,1.0,,1,71,4,2,0,1,1,310.0,1,10,4,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,3,1,507,1,,1,3.0,1.0,20.0,5.0,12.0,12.0,12.0,12.0,,720.0,35.0,100.0,19.0,2.0,720.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,6,1,12.0,100.0,,,,,,1,0,,,,,,,1,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,1,0.0,,,1.0,18.0,5.0,3.0,18.0,5.0,3.0,,,,,,,,,1,12.0,12.0,1.0,1.0,507.0,,507.0,,2.0,,4.0,32.7272727272727,0.0,,,,,,,,,,12.0,,,32.7272727272727,12.0,12.0,12.0,1,1.0
9055061000992830,9,5,50,61,99,2830,0,,,,,,,,,,,,,,,,231.03,3,3.0,,1.0,1.0,,2.0,2.0,,,,,,2.0,,4,1.0,0,,99.0,1,39,4,3,0,1,1,231.03,1,10,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,2,507,1,,1,2.0,6.0,20.0,9.0,30.0,30.0,30.0,30.0,,1500.0,35.0,100.0,19.0,1.0,1500.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,6,1,30.0,100.0,,,,,,1,0,,,,,,,1,60.0,3.0,30.0,3.0,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,0,,,,,,,507.0,,2.0,,4.0,68.1818181818182,0.0,,,,,,,,,30.0,,,,136.3636363636364,30.0,30.0,,1,1.0
9055064000990954,9,5,50,64,99,954,0,,,,,,,,,,,,,,,,360.0,42,42.0,,1.0,1.0,,1.0,1.0,,40.0,40.0,,,2.0,,4,1.0,0,,99.0,1,99,4,3,0,1,1,360.0,1,10,6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,2,507,1,,0,2.0,8.0,20.0,11.0,90.0,90.0,90.0,90.0,,4500.0,35.0,100.0,19.0,2.0,4500.0,35.0,100.0,19.0,100.0,,,,,,,,,,0,0,6,1,90.0,100.0,,,,,,1,0,,,,,,,1,720.0,5.0,260.0,3.0,,,,,1,0.0,,,1.0,135.0,5.0,3.0,,,,,,,,,,,,1,90.0,90.0,8.0,1.0,507.0,,507.0,,2.0,,4.0,204.54545454545502,0.0,,,,,,,,,90.0,,,,409.09090909091003,90.0,90.0,90.0,1,1.0
9065051000993341,9,6,50,51,99,3341,0,,,,,,,,,,,,,,,,450.0,1,1.0,,1.0,1.0,,,,,,,,,2.0,,4,1.0,0,,99.0,1,65,4,2,0,0,0,450.0,1,10,4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,2,507,1,,1,3.0,8.0,20.0,12.0,300.0,300.0,300.0,300.0,,16500.0,37.0,220.0,19.0,6.0,16500.0,37.0,220.0,19.0,100.0,,,,,,,,,,0,0,1,1,300.0,100.0,,,,,,1,0,,,,,,,1,270000.0,2.0,,,,,,,1,0.0,,,1.0,90.0,5.0,3.0,150.0,5.0,3.0,,,,,,,50.0,,1,300.0,300.0,8.0,1.0,507.0,,507.0,,2.0,,4.0,1650.0,0.0,,,,,,,,,,300.0,,,3300.0,300.0,300.0,300.0,1,1.0
9065051000993374,9,6,50,51,99,3374,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,214.0,3,3.0,,1.0,1.0,,2.0,2.0,,,,,,2.0,,4,1.0,0,,99.0,0,45,4,2,0,1,1,214.0,1,10,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,2,507,1,,1,2.0,6.0,20.0,9.0,174.0,174.0,174.0,174.0,,8700.0,37.0,205.0,19.0,2.0,8700.0,37.0,205.0,19.0,100.0,,,,,,,,,,0,0,1,1,174.0,100.0,,,,,,1,1,,,,,3480.0,1.0,1,34800.0,2.0,17400.0,2.0,,,,,1,0.0,,,1.0,,,,174.0,5.0,3.0,174.0,5.0,3.0,,,,50.0,,1,174.0,174.0,6.0,1.0,507.0,,507.0,,2.0,,4.0,810.6818181818179,0.0,,,,,,,,,174.0,,,,1540.295454545454,174.0,174.0,174.0,1,1.0
9065051000993396,9,6,50,51,99,3396,0,,,,,,,,,,,,,,,,70.0,3,3.0,,1.0,1.0,,2.0,2.0,,,,,,2.0,,4,1.0,0,,99.0,1,52,4,3,0,1,1,70.0,1,8,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,507,1,,1,3.0,1.0,20.0,7.0,70.0,70.0,70.0,70.0,,3850.0,37.0,220.0,19.0,1.0,3850.0,37.0,220.0,19.0,100.0,,,,,,,,,,0,0,1,0,,,,,,,,1,0,,,,,,,1,3150.0,2.0,,,,,,,1,0.0,,,1.0,25.0,5.0,3.0,35.0,5.0,3.0,17.0,5.0,3.0,,,,10.0,0.0,1,70.0,70.0,2.0,1.0,507.0,,507.0,,2.0,,4.0,385.0,0.0,,,,,,,,,,70.0,,,385.0,,70.0,70.0,1,1.0
9065451000993391,9,6,54,51,99,3391,0,,,,,,,,,,,,,,,,150.0,4,4.0,,1.0,1.0,,3.0,3.0,,,,,,2.0,,4,1.0,0,,99.0,1,99,4,3,0,1,1,150.0,1,9,6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,507,1,,1,3.0,3.0,20.0,8.0,149.0,149.0,149.0,149.0,,8250.0,37.0,220.0,19.0,6.0,8250.0,37.0,220.0,19.0,100.0,,,,,,,,,,0,0,1,0,,,,,,,,1,0,,,,,,,1,,,40071.0,2.0,,,40071.0,2.0,1,0.0,,,1.0,,,,75.0,5.0,3.0,75.0,5.0,3.0,,,,15.0,,1,149.0,149.0,3.0,1.0,507.0,,507.0,,2.0,,4.0,825.0,0.0,,,,,,,,,,149.0,,,825.0,,149.0,149.0,1,1.0
9065662000990362,9,6,56,62,99,362,0,,,,,,,,,,,,,,,,10.25,3,3.0,,3.0,3.0,,,,,,,,,2.0,,4,1.0,1,1.0,,1,56,3,1,0,1,1,10.25,1,6,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1,507,1,,1,2.0,2.0,20.0,8.0,10.0,10.0,10.0,10.0,,400.0,37.0,200.0,19.0,2.0,400.0,37.0,200.0,19.0,100.0,,,,,,,,,,0,0,1,1,10.0,100.0,,,,,,1,0,,,,,,,1,,,1833.0,2.0,1833.0,2.0,1833.0,2.0,1,0.0,,,1.0,5.0,5.0,3.0,5.0,5.0,3.0,,,,,,,3.0,,1,10.0,10.0,2.0,1.0,507.0,,507.0,,2.0,,4.0,36.363636363636395,0.0,,,,,,,,,10.0,,,,36.363636363636395,10.0,10.0,10.0,1,1.0
