Identificador,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ec19_actafec,ec19_dadinsu,ec19_dconmob,ec19_dtraterre,ec19_dofretrab,ec19_pveprfalt,ec19_pveprausc,ec19_accecred,ec19_recayamag,ec19_recayusgr,ec19_recayugc,ec19_recayugadm,ec19_recayugadp,ec19_recayuong,ec19_recayuotro,ec19_recayudesc,tratamiento_compra_insumos,tratamiento_ventas_transporte,tratamiento_ventas_demanda,eu_superficie_ha,eu_k1301,eu_k1302,eu_k1303,eu_k1304,eu_k1305,eu_k1306,eu_k1307,eu_k1308,eu_k1309,eu_k1310,eu_k1311,eu_k1312,eu_trs,eu_trc,eu_tro,eu_tn,fact_exp_fin_principales,cg_vive_predio_pr,cg_terredensm,cg_dista_pre_viv,cg_k100,cg_k101,cg_se_define,cg_k102,cg_segsoccam,cg_accesocomp,cg_accesointer,cg_superficie,cg_unidadmedida,grupo1,edad_rango,pa_arealm,pa_areempa,eq_earado,eq_semman,eq_emotoguadana,cp_numt,cp_numl,rc_clacul,cp_k404,cp_k405,cp_k406,cp_distancia_1,cp_distancia_2,cp_k408,cp_k409,cp_k409ha,cp_k410,cp_k410ha,cp_k411,cp_k411ha,cp_k412,cp_k416,cp_k417,cp_k418,cp_k420,cp_afecta_prod,cp_k422,cp_k423,cp_k424,cp_k426,cp_venmernac,cp_venmerint,cp_rdproven1,cp_rdproven2,cp_rdproven3,cp_rdproven4,cp_rdproven5,cp_rdproven6,cp_fconvf,cp_fconvs,cp_seg_agri,cp_kits_agri,cp_riego,cp_superf_regada,cp_superf_regada_ha,cp_porc_surc,cp_porc_aspe,cp_porc_micr,cp_porc_gote,cp_porc_nebu,cp_porc_otro,cp_aferti,cp_forg,cp_cant1_fo,cp_umed1_fo,cp_cant2_fo,cp_umed2_fo,cp_cant3_fo,cp_umed3_fo,cp_fqui,cp_cantidad_npk_fq,cp_umed_npk_fq,cp_cantidad_nit_fq,cp_umed_nit_fq,cp_cantidad_fq,cp_umed_fq,cp_cantidad_pot_fq,cp_umed_pot_fq,cp_afito,cp_porg,cp_cantidad_po,cp_umed_po,cp_pqui,cp_cantidad_her_pq,cp_umed_her_pq,cp_color_her_pq,cp_cantidad_ins_pq,cp_umed_ins_pq,cp_color_ins_pq,cp_cantidad_fun_pq,cp_umed_fun_pq,cp_color_fun_pq,cp_cantidad_pq,cp_umed_pq,cp_color_pq,cp_trabocacont,cp_trabfami,cp_obsotroscp,cp_nclavr,cp_trs,cp_trc,cp_tro,cp_tn,cp_prod,ventas,cp_superdida,superdida,cp_sequia,cp_helada,cp_plagas,cp_enfermedades,cp_inundacion,cp_otra,cp_edad,edad1,edad2,edad3,cp_vcomún,cp_vmejorada,cp_vhibrinacio,cp_vhibrinterna,cp_sriego,cp_sufertilizantes,cp_sufitosanitario,nuevacondicion,fact_exp_fin_cultivo
8045502152820002,8,4,55,2,15282,2,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,73.0,34,32.0,2.0,2.0,2.0,,2.0,2.0,,30.0,28.0,2.0,,2.0,,4,0.7026690804224419,1,0.0,20.0,1,60,4,2,0,1,1,73.0,1,8,3,0.0,1.0,0.0,,1.0,1,1,407,1,,20.0,3.0,3.0,2.0,73.0,73.0,73.0,73.0,63.0,63.0,6.0,77760.0,16.0,42.0,3.0,7.0,77760.0,16.0,42.0,3.0,0.0,100.0,,,,,,,,,0,0,1,73.0,73.0,,100.0,,,,,1,1,,,,,1200.0,1.0,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,30.0,,,407,,2.0,,4,1484.50909090909,1484.50909090909,10.0,10.0,,,,,,10.0,20,,,73.0,,73.0,,,73.0,73.0,,1,0.7026690804224419
12015402126120002,12,1,54,2,12612,2,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,101.0,52,46.0,6.0,1.0,1.0,,36.0,33.0,3.0,15.0,12.0,3.0,,2.0,,4,0.7228743366568922,0,,99.0,1,49,4,3,0,1,1,101.0,1,9,3,0.0,0.0,,,0.0,1,1,407,1,,29.0,3.0,3.0,1.0,90.0,90.0,90.0,90.0,90.0,90.0,,232000.0,16.0,42.0,3.0,2.0,232000.0,16.0,42.0,3.0,,100.0,,,,,,,,,1,0,1,90.0,90.0,,100.0,,,,,1,0,,,,,,,1,50000.0,2.0,60000.0,2.0,,,,,1,0.0,,,1.0,1800.0,5.0,2.0,,,,2070.0,5.0,2.0,,,,,,,407,,2.0,,4,4429.09090909091,4429.09090909091,0.0,,,,,,,,29,,,90.0,90.0,,,,90.0,90.0,90.0,1,0.8112256444705122
12025002129730001,12,2,50,2,12973,1,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,169.0,51,51.0,,1.0,1.0,,50.0,50.0,,,,,,2.0,,4,0.966116352498021,0,,99.0,1,69,4,3,0,1,1,169.0,1,9,4,0.0,0.0,,,0.0,1,1,407,1,,25.0,2.0,3.0,1.0,43.0,43.0,43.0,43.0,43.0,43.0,,153940.0,16.0,42.0,3.0,2.0,153940.0,16.0,42.0,3.0,,100.0,,,,,,,,,1,0,1,43.0,43.0,,100.0,,,,,1,0,,,,,,,1,44075.0,2.0,,,,,,,1,0.0,,,1.0,,,,,,,860.0,5.0,2.0,,,,,,,407,,2.0,,4,2938.85454545455,2938.85454545455,0.0,,,,,,,,25,,,43.0,43.0,,,,43.0,43.0,43.0,1,3.79706194353873
12135060000990075,12,13,50,60,99,75,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,269.91,25,25.0,,,,,25.0,25.0,,,,,,2.0,,4,1.0,1,1.0,,1,69,4,3,0,0,0,269.91,1,10,4,0.0,0.0,,,0.0,3,1,407,1,,0.0,3.0,3.0,2.0,71.38,71.38,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,71.38,71.38,,100.0,,,,,1,0,,,,,,,1,568.0,2.0,568.0,2.0,,,,,1,0.0,,,1.0,71.0,5.0,3.0,,,,,,,,,,0.0,,,407,,2.0,,4,,,,,,,,,,,0,71.38,,,,71.38,,,71.38,71.38,71.38,1,1.0
12115052000990276,12,11,50,52,99,276,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,199.99,126,106.0,20.0,1.0,1.0,,125.0,105.0,20.0,,,,,2.0,,4,1.0,0,,99.0,1,56,4,6,0,1,1,199.99,1,9,3,0.0,1.0,,,0.0,1,1,407,1,,28.0,2.7,2.4,2.0,176.01,176.01,176.01,176.01,176.01,176.01,,559664.0,16.0,42.0,3.0,1.0,559000.0,16.0,42.0,3.0,100.0,,,,,664.0,,,,,0,0,1,176.01,176.01,,100.0,,,,,1,0,,,,,,,1,50000.0,2.0,,,,,,,1,0.0,,,1.0,100.0,5.0,3.0,,,,700.0,5.0,3.0,,,,,,,407,,2.0,,4,10684.4945454545,10671.8181818182,0.0,,,,,,,,28,,,176.01,,176.01,,,176.01,176.01,176.01,1,1.0
3045052000990280,3,4,50,52,99,280,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,170.0,100,76.0,24.0,1.0,1.0,,99.0,75.0,24.0,,,,1.0,,,4,1.0,0,,70.0,1,60,4,1,0,0,0,170.0,1,9,3,1.0,1.0,,,0.0,1,1,407,1,,60.0,3.0,3.0,1.0,160.0,160.0,160.0,160.0,160.0,160.0,,300000.0,16.0,43.0,3.0,7.0,300000.0,16.0,43.0,3.0,0.0,100.0,,,,,,,,,1,1,1,160.0,160.0,,100.0,,,,,1,0,,,,,,,1,3000.0,2.0,3000.0,2.0,,,,,1,0.0,,,1.0,1200.0,5.0,2.0,,,,,,,,,,,,,407,1.0,,,4,5863.6363636363585,5863.6363636363585,0.0,,,,,,,,60,,,160.0,160.0,,,,160.0,160.0,160.0,1,1.0
3045052000990302,3,4,50,52,99,302,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,58.36,60,51.0,9.0,1.0,1.0,,59.0,50.0,9.0,,,,1.0,,,4,1.0,0,,1.0,1,54,4,2,0,1,1,58.36,1,8,3,1.0,1.0,,,1.0,1,1,407,1,,50.0,3.0,3.0,1.0,56.0,56.0,56.0,56.0,56.0,56.0,,105000.0,16.0,41.5,3.0,7.0,105000.0,16.0,41.5,3.0,3.0,97.0,,,,,,,,,0,0,1,56.0,56.0,,100.0,,,,,1,0,,,,,,,1,,,71896.0,2.0,,,,,1,0.0,,,1.0,226.0,5.0,2.0,100.0,5.0,2.0,200.0,5.0,4.0,,,,,,,407,1.0,,,4,1980.68181818182,1980.68181818182,0.0,,,,,,,,50,,,56.0,56.0,,,,56.0,56.0,56.0,1,1.0
3045056000993459,3,4,50,56,99,3459,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,136.0,204,204.0,,1.0,1.0,,203.0,203.0,,,,,1.0,,,4,1.0,0,,18.0,1,64,4,3,0,1,1,136.0,1,9,4,1.0,1.0,,,1.0,1,1,407,1,,12.0,3.0,2.2,2.0,130.0,130.0,130.0,130.0,130.0,130.0,,429000.0,16.0,42.0,3.0,7.0,429000.0,16.0,42.0,3.0,,100.0,,,,,,,,,0,0,1,130.0,130.0,,,100.0,,,,1,1,2600.0,2.0,,,,,1,71500.0,2.0,,,,,,,1,1.0,825.0,5.0,1.0,780.0,5.0,2.0,,,,500.0,5.0,2.0,,,,,,,407,1.0,,,4,8190.0,8190.0,0.0,,,,,,,,12,,130.0,,,130.0,,,130.0,130.0,130.0,1,1.0
5025052000990232,5,2,50,52,99,232,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PRIVADO,,1.0,1.0,200.0,101,81.0,20.0,1.0,1.0,,100.0,80.0,20.0,,,,1.0,,,4,1.0,0,,15.0,1,68,4,3,0,1,1,200.0,1,10,4,1.0,1.0,,,0.0,1,1,407,1,,20.0,3.0,3.0,1.0,200.0,200.0,200.0,200.0,200.0,200.0,,384000.0,16.0,43.0,3.0,2.0,384000.0,16.0,43.0,3.0,,100.0,,,,,,,,,1,0,1,200.0,200.0,,100.0,,,,,1,0,,,,,,,1,4200.0,3.0,,,,,,,1,0.0,,,1.0,1400.0,5.0,2.0,,,,2400.0,5.0,2.0,,,,,,,407,1.0,,,4,7505.45454545455,7505.45454545455,0.0,,,,,,,,20,,,200.0,200.0,,,,200.0,200.0,200.0,1,1.0
5025061000993056,5,2,50,61,99,3056,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,300.0,71,46.0,25.0,1.0,1.0,,70.0,45.0,25.0,,,,1.0,,,4,1.0,0,,18.0,1,82,4,2,0,1,1,300.0,1,10,5,1.0,1.0,,,0.0,4,4,407,1,,15.0,4.0,4.0,1.0,140.0,140.0,140.0,140.0,140.0,140.0,,576000.0,16.0,16.0,3.0,2.0,576000.0,16.0,16.0,3.0,,100.0,,,,,,,,,0,0,1,140.0,140.0,,100.0,,,,,1,0,,,,,,,1,3920.0,3.0,,,,,,,1,0.0,,,1.0,1260.0,5.0,2.0,,,,3500.0,5.0,2.0,,,,,,,407,1.0,,,4,4189.09090909091,4189.09090909091,0.0,,,,,,,,15,,140.0,,140.0,,,,140.0,140.0,140.0,1,1.0
5025062000990371,5,2,50,62,99,371,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,30.0,3,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,1.0,,,4,1.0,0,,12.0,1,76,4,1,0,1,1,30.0,1,7,4,0.0,0.0,,,0.0,1,1,407,1,,0.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1.0,1.0,,100.0,,,,,1,1,20.0,3.0,,,,,0,,,,,,,,,1,0.0,,,1.0,2.0,5.0,3.0,1.0,5.0,3.0,,,,,,,,,,407,1.0,,,4,,,,,,,,,,,0,1.0,,,1.0,,,,1.0,1.0,1.0,1,1.0
5035152000990153,5,3,51,52,99,153,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,GRUPO GMC,,1.0,1.0,640.51,321,193.0,128.0,1.0,1.0,,320.0,192.0,128.0,,,,1.0,,,4,1.0,0,,200.0,0,99,4,3,0,1,1,640.51,1,10,6,1.0,1.0,,,0.0,1,1,407,1,,20.0,3.0,3.0,1.0,240.51,240.51,240.51,240.51,240.51,240.51,,98128.08,16.0,80.0,3.0,7.0,98128.08,16.0,80.0,3.0,,100.0,,,,,,,,,0,0,1,240.51,240.51,80.0,20.0,,,,,1,0,,,,,,,1,8417.85,2.0,,,,,,,1,0.0,,,1.0,,,,,,,6012.75,5.0,3.0,,,,,,,407,1.0,,,4,3568.29381818182,3568.29381818182,0.0,,,,,,,,20,,,240.51,240.51,,,,240.51,240.51,240.51,1,1.0
5035152000990153,5,3,51,52,99,153,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,GRUPO GMC,,1.0,1.0,640.51,321,193.0,128.0,1.0,1.0,,320.0,192.0,128.0,,,,1.0,,,4,1.0,0,,200.0,0,99,4,3,0,1,1,640.51,1,10,6,1.0,1.0,,,0.0,2,2,407,1,,15.0,3.0,3.0,1.0,400.0,400.0,400.0,400.0,400.0,400.0,,163200.0,16.0,80.0,3.0,7.0,163200.0,16.0,80.0,3.0,,100.0,,,,,,,,,0,0,1,400.0,400.0,80.0,20.0,,,,,1,0,,,,,,,1,14000.0,2.0,,,,,,,1,0.0,,,1.0,,,,,,,10000.0,5.0,3.0,,,,,,,407,1.0,,,4,5934.54545454546,5934.54545454546,0.0,,,,,,,,15,,400.0,,400.0,,,,400.0,400.0,400.0,1,1.0
7015064000992114,7,1,50,64,99,2114,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,11.88,7,7.0,,1.0,1.0,,6.0,6.0,,,,,,2.0,,4,1.0,0,,15.0,1,42,4,2,0,0,1,11.88,1,6,3,0.0,1.0,,,1.0,1,1,407,1,,32.0,4.0,4.0,1.0,11.38,11.38,11.38,11.38,11.38,11.38,,24000.0,16.0,44.5,3.0,2.0,24000.0,16.0,44.5,3.0,,100.0,,,,,,,,,0,0,1,11.38,11.38,,100.0,,,,,1,1,62.0,3.0,,,,,0,,,,,,,,,1,1.0,130.0,5.0,0.0,,,,,,,,,,,,,,1.0,,407,,2.0,,4,485.454545454545,485.454545454545,0.0,,,,,,,,32,,,11.38,11.38,,,,11.38,11.38,11.38,1,1.0
7015252000990208,7,1,52,52,99,208,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,52.0,19,19.0,,1.0,1.0,,18.0,18.0,,,,,,2.0,,4,1.0,0,,15.0,0,60,4,3,0,1,1,52.0,1,8,3,0.0,0.0,,,0.0,1,1,407,1,,30.0,2.8,2.8,1.0,50.0,50.0,50.0,50.0,50.0,50.0,,110000.0,16.0,43.0,3.0,1.0,110000.0,16.0,43.0,3.0,,100.0,,,,,,,,,0,0,1,50.0,50.0,,100.0,,,,,1,0,,,,,,,1,120.0,4.0,,,,,,,1,0.0,,,1.0,,,,,,,900.0,5.0,4.0,,,,,,,407,,2.0,,4,2150.0,2150.0,0.0,,,,,,,,30,,,50.0,50.0,,,,50.0,50.0,50.0,1,1.0
