Identificador,Id,ual_prov,ual_cant,ual_parr,ual_estr,ual_segm,al_ncues,ct_numt,ct_numl,rc_clacul,ct_k504,ct_k505,ct_prepa_suelo,ct_k506,ct_k507,ct_k508,ct_k509,ct_k510,ct_k510ha,ct_k511,ct_k511ha,ct_k512,ct_k516,ct_k517,ct_k518,ct_k520,ct_afecta_prod,ct_k522,ct_k523,ct_k524,ct_k526,ct_venmernac,ct_venmerint,ct_rdproven1,ct_rdproven2,ct_rdproven3,ct_rdproven4,ct_rdproven5,ct_rdproven6,ct_fconvf,ct_fconvs,ct_seg_agri,ct_kits_agri,ct_presueuti,ct_riego,ct_superf_regada_ha,ct_porc_surc,ct_porc_aspe,ct_porc_micr,ct_porc_gote,ct_porc_nebu,ct_porc_otro,ct_aferti,ct_forg,ct_cant1_fo,ct_umed1_fo,ct_cant2_fo,ct_umed2_fo,ct_cant3_fo,ct_umed3_fo,ct_fqui,ct_cantidad_npk_fq,ct_umed_npk_fq,ct_cantidad_nit_fq,ct_umed_nit_fq,ct_cantidad_fq,ct_umed_fq,ct_cantidad_pot_fq,ct_umed_pot_fq,ct_afito,ct_porg,ct_cantidad_po,ct_umed_po,ct_pqui,ct_cantidad_her_pq,ct_umed_her_pq,ct_color_her_pq,ct_cantidad_ins_pq,ct_umed_ins_pq,ct_color_ins_pq,ct_cantidad_fun_pq,ct_umed_fun_pq,ct_color_fun_pq,ct_cantidad_pq,ct_umed_pq,ct_color_pq,ct_trabocacont,ct_trabfami,ct_piensasem_int,ct_supersem_int,ct_supersemha_int,ct_messiem_int,ct_condcult_int,ct_codcultiv1_int,ct_codcultiv2_int,ct_nclavr,ct_trs,ct_trc,ct_tro,ct_tn,ct_prod,ct_superdida,superdida,ct_sequia,ct_helada,ct_plagas,ct_enfermedades,ct_inundacion,ct_otra,ct_secomun,ct_semejorada,ct_secertificada,ct_sehibrinac,ct_sehibrinter,Ventas,ct_sriego,su_fertilizada,su_plaguicidas,ct_nuevacondicion,fact_exp_fin,repetido
1025101223700005,102510122370000501,1,2,51,1,22370,5,01,1,548,1,,0,1.0,12.0,19.0,7.0,0.7,0.7,0.7,0.7,,18.0,35.0,100.0,2.0,6.0,,,,,,,16.0,,,,2.0,,,,0,0,1,1,0.7,100.0,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.7,0.7,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.818181818181818,0.0,,,,,,,,0.7,,,,,,0.7,,,1,35.1234772330057,1
1055301042910005,105530104291000504,1,5,53,1,4291,5,04,2,548,1,,0,1.0,12.0,19.0,8.0,0.03,0.03,0.03,0.03,,3.0,35.0,100.0,2.0,6.0,,,,,,,1.0,1.5,,,0.5,,,,0,0,6,0,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.03,0.03,11.0,1.0,548.0,,548.0,1.0,,,4.0,0.136363636363636,0.0,,,,,,,,0.03,,,,,,,,,1,51.0943441367097,1
1055301042910006,105530104291000603,1,5,53,1,4291,6,03,1,548,1,,0,1.0,10.0,19.0,6.0,0.08,0.08,0.08,0.08,,5.0,35.0,100.0,2.0,6.0,,,,,,,1.0,3.0,,,1.0,,,,0,0,6,0,,,,,,,,1,1,1.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.08,0.08,4.0,1.0,548.0,,548.0,1.0,,,4.0,0.22727272727272704,0.0,,,,,,,,0.08,,,,,,,0.08,,1,69.6925292345445,1
1055301042910007,105530104291000703,1,5,53,1,4291,7,03,1,548,1,,0,1.0,12.0,19.0,8.0,0.06,0.06,0.01,0.01,3.0,0.01,35.0,100.0,2.0,2.0,,,,,,,0.01,,,,,,,,0,0,4,0,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,1,0.06,0.06,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.000454545454545455,0.05,0.05,,,0.05,,,,0.06,,,,,,,,,1,60.2626120253271,1
1055301045930001,105530104593000102,1,5,53,1,4593,1,02,1,548,1,,0,1.0,12.0,19.0,9.0,0.2,0.2,0.2,0.2,,6.0,35.0,100.0,2.0,6.0,,,,,,,1.0,5.0,,,,,,,0,0,3,0,,,,,,,,1,1,15.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.2,0.2,7.0,1.0,548.0,,548.0,1.0,,,4.0,0.272727272727273,0.0,,,,,,,,0.2,,,,,,,0.2,,1,36.252889662723796,1
1055301052980002,105530105298000207,1,5,53,1,5298,2,07,2,548,1,,0,1.0,11.0,19.0,5.0,0.08,0.08,0.08,0.08,,2.0,35.0,100.0,2.0,6.0,,,,,,,2.0,,,,,,,,0,0,6,0,,,,,,,,1,1,1500.0,2.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.08,0.08,11.0,1.0,548.0,,548.0,1.0,,,4.0,0.0909090909090909,0.0,,,,,,,,0.08,,,,,,,0.08,,1,3.8890177930562095,1
1055301052980004,105530105298000403,1,5,53,1,5298,4,03,1,548,2,1.0,0,1.0,6.0,20.0,10.0,0.06,0.06,0.06,0.06,,3.0,35.0,100.0,2.0,6.0,,,,,,,1.0,2.0,,,,,,,0,0,3,1,0.06,100.0,,,,,,1,1,10.0,2.0,,,,,0,,,,,,,,,1,0.0,,,1.0,,,,,,,5.0,1.0,3.0,,,,,5.0,1,0.06,0.06,6.0,0.0,548.0,532.0,548.0,1.0,,,4.0,0.136363636363636,0.0,,,,,,,,0.06,,,,,,0.06,0.06,0.06,0,15.127896314457901,1
1055301052980005,105530105298000509,1,5,53,1,5298,5,09,7,548,1,,0,1.0,5.0,19.0,1.0,0.25,0.25,0.25,0.25,,12.0,35.0,100.0,2.0,6.0,,,,,,,8.0,,,3.0,1.0,,,,0,0,3,1,0.25,100.0,,,,,,1,1,2500.0,2.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,5.0,1,0.25,0.25,5.0,1.0,548.0,,548.0,1.0,,,4.0,0.545454545454545,0.0,,,,,,,,0.25,,,,,,0.25,0.25,,1,31.4847277592877,1
1055301052980006,105530105298000603,1,5,53,1,5298,6,03,1,548,1,,0,1.0,12.0,19.0,8.0,0.4,0.4,0.4,0.4,,20.0,35.0,100.0,2.0,6.0,,,,,,,1.0,17.0,,1.0,1.0,,,,0,0,6,0,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,1.0,,1,0.4,0.4,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.9090909090909092,0.0,,,,,,,,0.4,,,,,,,,,1,60.4882495193015,1
1055401056250003,105540105625000302,1,5,54,1,5625,3,02,1,548,1,,0,1.0,12.0,19.0,7.0,0.3,0.3,0.3,0.3,,6.0,35.0,100.0,2.0,6.0,,,,,,,5.0,,,,1.0,,,,0,0,6,0,,,,,,,,1,1,1000.0,2.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,0.0,1,0.3,0.3,8.0,1.0,548.0,,548.0,1.0,,,4.0,0.272727272727273,0.0,,,,,,,,0.3,,,,,,,0.3,,1,48.540558105801296,1
1055401056250004,105540105625000402,1,5,54,1,5625,4,02,1,548,1,,0,1.0,5.0,20.0,9.0,1.0,1.0,1.0,1.0,,12.0,38.0,100.0,2.0,1.0,,,,,,,5.0,3.0,,,1.0,3.0,,,0,0,6,0,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,0,,,,,,,548.0,1.0,,,4.0,0.545454545454545,0.0,,,,,,,,1.0,,,,,,,,,1,23.5509264720355,1
1055401056250005,105540105625000501,1,5,54,1,5625,5,01,1,548,1,,0,1.0,6.0,20.0,12.0,0.3,0.3,0.3,0.3,,7.0,35.0,100.0,2.0,6.0,,,,,,,6.5,,,,0.5,,,,0,0,4,0,,,,,,,,1,1,300.0,2.0,,,,,1,150.0,2.0,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,2.0,1,0.3,0.3,1.0,1.0,548.0,,548.0,1.0,,,4.0,0.31818181818181795,0.0,,,,,,,,0.3,,,,,,,0.3,,1,151.549710615999,1
1055401059890002,105540105989000201,1,5,54,1,5989,2,01,1,548,2,1.0,0,1.0,10.0,19.0,6.0,2.94,2.94,2.0,2.0,3.0,15.0,35.0,100.0,2.0,2.0,,,,,,,15.0,,,,,,,,0,0,1,1,2.94,,100.0,,,,,1,1,30.0,3.0,,,,,1,2.0,2.0,1.5,2.0,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,3.0,1,2.94,2.94,5.0,0.0,548.0,532.0,548.0,1.0,,,4.0,0.681818181818182,0.94,0.94,,,0.94,,,,2.94,,,,,,2.94,2.94,,0,58.2560850978827,1
1056101018860004,105610101886000402,1,5,61,1,1886,4,02,2,548,1,,0,1.0,5.0,20.0,12.0,0.1,0.1,0.1,0.1,,8.0,35.0,100.0,2.0,6.0,,,,,,,7.0,,,,1.0,,,,0,0,6,0,,,,,,,,1,0,,,,,,,1,,,1.5,5.0,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,1,0.1,0.1,5.0,1.0,548.0,,548.0,1.0,,,4.0,0.36363636363636404,0.0,,,,,,,,0.1,,,,,,,0.1,,1,50.7273827080639,1
1056101033400001,105610103340000103,1,5,61,1,3340,1,03,1,548,1,,0,1.0,12.0,19.0,8.0,0.4,0.4,0.4,0.4,,17.0,35.0,100.0,2.0,6.0,13.0,35.0,100.0,2.0,100.0,,3.0,1.0,,,,,,,0,0,3,0,,,,,,,,1,1,2500.0,2.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.4,0.4,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.7727272727272729,0.0,,,,,,,,0.4,,,,,0.590909090909091,,0.4,,1,76.8617250618868,1
1056101035040003,105610103504000302,1,5,61,1,3504,3,02,1,548,1,,0,1.0,1.0,20.0,9.0,0.01,0.01,0.01,0.01,,1.0,38.0,70.0,2.0,6.0,,,,,,,1.0,,,,,,,,0,0,6,1,0.01,,100.0,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,3.0,1,0.01,0.01,6.0,1.0,548.0,,548.0,1.0,,,4.0,0.0318181818181818,0.0,,,,,,,,0.01,,,,,,0.01,,,1,308.393179234797,1
1056101035040006,105610103504000604,1,5,61,1,3504,6,04,1,548,1,,0,1.0,10.0,19.0,6.0,0.15,0.15,0.15,0.15,,10.0,35.0,100.0,2.0,6.0,8.0,35.0,100.0,2.0,100.0,,1.5,,,,0.5,,,,0,0,6,0,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,1,0.15,0.15,10.0,1.0,548.0,,548.0,1.0,,,4.0,0.45454545454545503,0.0,,,,,,,,0.15,,,,,0.36363636363636404,,,,1,75.7354389999777,1
1065201227360004,106520122736000402,1,6,52,1,22736,4,02,2,548,2,1.0,0,1.0,5.0,20.0,8.0,1.0,1.0,1.0,1.0,,15.0,38.0,100.0,2.0,6.0,,,,,,,15.0,,,,,,,,0,0,4,1,1.0,100.0,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,0,,,,,,,548.0,1.0,,,4.0,0.681818181818182,0.0,,,,,,,,1.0,,,,,,1.0,,,0,83.0262089289865,1
1075001206870001,107500120687000102,1,7,50,1,20687,1,02,1,548,1,,0,2.0,12.0,19.0,7.0,0.5,0.5,0.5,0.5,,12.0,35.0,100.0,2.0,6.0,6.0,35.0,100.0,2.0,100.0,,6.0,,,,,,,,0,0,4,1,0.5,,100.0,,,,,1,1,5.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,1,0.5,0.5,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.545454545454545,0.0,,,,,,,,,0.5,,,,0.272727272727273,0.5,0.5,,1,9.1796224463169,1
1075001206870005,107500120687000506,1,7,50,1,20687,5,06,1,548,1,,0,1.0,12.0,19.0,5.0,0.5,0.5,0.5,0.5,,12.0,35.0,100.0,2.0,6.0,11.0,35.0,100.0,2.0,100.0,,0.5,,,,0.5,,,,0,0,4,0,,,,,,,,1,1,,,5.0,3.0,,,1,1.0,3.0,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,1,0.5,0.5,12.0,1.0,548.0,,548.0,1.0,,,4.0,0.545454545454545,0.0,,,,,,,,0.5,,,,,0.5,,0.5,,1,15.6343461073912,1
1085001245010003,108500124501000301,1,8,50,1,24501,3,01,1,548,1,,0,2.0,1.0,20.0,7.0,0.5,0.5,0.5,0.5,,10.0,35.0,100.0,2.0,6.0,,,,,,,10.0,,,,,,,,0,0,1,1,0.5,100.0,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,0.0,0.0,0,,,,,,,548.0,1.0,,,4.0,0.45454545454545503,0.0,,,,,,,,,0.5,,,,,0.5,,,1,48.856954466849785,1
1085101234620002,108510123462000201,1,8,51,1,23462,2,01,1,548,2,1.0,0,2.0,1.0,20.0,7.0,1.5,1.5,1.5,1.5,,50.0,35.0,100.0,2.0,2.0,45.0,35.0,100.0,2.0,100.0,,,,,5.0,,,,,0,0,6,1,1.5,100.0,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,1,1.5,1.5,1.0,0.0,548.0,530.0,548.0,1.0,,,4.0,2.2727272727272703,0.0,,,,,,,,,1.5,,,,2.0454545454545503,1.5,,,0,14.986953827853,1
1145001041450001,114500104145000101,1,14,50,1,4145,1,01,1,548,1,,0,1.0,10.0,19.0,4.0,0.5,0.5,0.5,0.5,,30.0,24.0,1.0,2.0,2.0,,,,,,,30.0,,,,,,,,0,0,3,1,0.5,,100.0,,,,,1,1,10.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.5,0.5,5.0,1.0,561.0,,548.0,1.0,,,4.0,0.0136363636363636,0.0,,,,,,,,0.5,,,,,,0.5,0.5,,1,2.23316081136852,1
1145001041450003,114500104145000304,1,14,50,1,4145,3,04,1,548,1,,0,1.0,9.0,20.0,12.0,0.1,0.1,0.1,0.1,,10.0,35.0,100.0,2.0,6.0,,,,,,,5.0,5.0,,,,,,,0,0,6,0,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,1.0,1,0.1,0.1,1.0,0.0,548.0,531.0,548.0,1.0,,,4.0,0.45454545454545503,0.0,,,,,,,,0.1,,,,,,,,,1,60.3257728912212,1
1145001043360002,114500104336000203,1,14,50,1,4336,2,03,1,548,1,,0,1.0,10.0,19.0,6.0,0.03,0.03,0.03,0.03,,3.0,35.0,100.0,2.0,6.0,,,,,,,1.0,1.5,,,0.5,,,,0,0,6,0,,,,,,,,1,1,2.0,3.0,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,0,,,,,,,548.0,1.0,,,4.0,0.136363636363636,0.0,,,,,,,,0.03,,,,,,,0.03,,1,100.509257053738,1
2045004000170007,204500400017000701,2,4,50,4,17,7,01,1,548,1,,1,2.0,1.0,20.0,5.0,54.33,54.33,54.33,54.33,,5464.0,35.0,100.0,2.0,6.0,5464.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,1,0,,,,,,,,1,0,,,,,,,1,8100.0,2.0,6900.0,2.0,,,,,1,0.0,,,1.0,,,,6.0,5.0,3.0,6.0,5.0,3.0,,,,,,1,54.33,54.33,1.0,1.0,548.0,,548.0,1.0,,,4.0,248.363636363636,0.0,,,,,,,,,54.33,,,,248.363636363636,,54.33,54.33,1,0.815260736809857,1
2045004000170010,204500400017001007,2,4,50,4,17,10,07,2,548,1,,0,2.0,5.0,20.0,9.0,2.12,2.12,2.12,2.12,,110.0,35.0,100.0,2.0,6.0,110.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,6,0,,,,,,,,1,0,,,,,,,1,,,30.0,3.0,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,1,2.12,2.12,12.0,1.0,549.0,,548.0,1.0,,,4.0,5.0,0.0,,,,,,,,,2.12,,,,5.0,,2.12,,1,10.075988856565198,1
2045004000170012,204500400017001202,2,4,50,4,17,12,02,2,548,2,1.0,0,2.0,9.0,20.0,12.0,3.0,3.0,3.0,3.0,,200.0,35.0,100.0,2.0,6.0,200.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,6,1,3.0,,100.0,,,,,1,0,,,,,,,1,30.0,3.0,,,,,,,1,0.0,,,1.0,1.0,5.0,2.0,,,,,,,,,,,,0,,,,,,,548.0,1.0,,,4.0,9.09090909090909,0.0,,,,,,,,,3.0,,,,9.09090909090909,3.0,3.0,3.0,0,13.887556969461201,1
2045004000170029,204500400017002903,2,4,50,4,17,29,03,1,548,1,,0,1.0,5.0,20.0,9.0,0.99,0.6985,0.99,0.6985,,12.0,35.0,100.0,2.0,6.0,,,,,,,,,,12.0,,,,,0,0,6,0,,,,,,,,1,0,,,,,,,1,0.5,3.0,,,,,,,1,0.0,,,1.0,1.0,5.0,2.0,,,,,,,,,,,,1,1.0,0.7056,1.0,1.0,548.0,,548.0,1.0,,,4.0,0.545454545454545,0.0,,,,,,,,0.6985,,,,,,,0.6985,0.6985,1,5.9938820660648,1
2055101126780001,205510112678000103,2,5,51,1,12678,1,03,1,548,1,,0,1.0,1.0,20.0,5.0,1.0,0.7056,1.0,0.7056,,10.0,35.0,100.0,2.0,2.0,,,,,,,,,,10.0,,,,,0,0,6,0,,,,,,,,1,0,,,,,,,1,1.0,5.0,100.0,2.0,,,,,1,,,,1.0,1.0,5.0,3.0,0.15,5.0,4.0,0.25,5.0,4.0,,,,,,1,1.0,0.7056,1.0,1.0,548.0,,548.0,1.0,,,4.0,0.45454545454545503,0.0,,,,,,,,0.7056,,,,,,,0.7056,0.7056,1,36.1238050619941,1
2075002001300010,207500200130001001,2,7,50,2,130,10,01,1,548,1,,0,3.0,1.0,20.0,4.0,4.0,2.8224,4.0,2.8224,,200.0,35.0,100.0,2.0,1.0,200.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,6,0,,,,,,,,1,0,,,,,,,1,,,20.0,5.0,,,,,1,0.0,,,1.0,5.0,5.0,3.0,1.5,5.0,3.0,,,,,,,3.0,,1,4.0,2.8224,1.0,1.0,548.0,,548.0,1.0,,,4.0,9.09090909090909,0.0,,,,,,,,,,2.8224,,,9.09090909090909,,2.8224,2.8224,1,30.948309716360196,1
2075002001980009,207500200198000903,2,7,50,2,198,9,03,1,548,1,,1,3.0,5.0,20.0,10.0,1.0,0.7056,1.0,0.7056,,100.0,35.0,100.0,2.0,6.0,100.0,35.0,100.0,2.0,100.0,,,,,,,,,,0,0,6,0,,,,,,,,1,0,,,,,,,1,300.0,2.0,,,,,,,1,0.0,,,1.0,0.5,5.0,4.0,0.25,5.0,2.0,,,,,,,,,1,1.0,0.7056,5.0,1.0,548.0,,548.0,1.0,,,4.0,4.5454545454545485,0.0,,,,,,,,,,0.7056,,,4.5454545454545485,,0.7056,0.7056,1,24.9421873841051,1
3015701051990001,301570105199000103,3,1,57,1,5199,1,03,1,548,2,1.0,0,1.0,11.0,19.0,8.0,0.9,0.9,0.9,0.9,,14.0,35.0,100.0,2.0,6.0,,,,,,,13.0,,,,1.0,,,,0,0,3,0,,,,,,,,0,0,,,,,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,,,1,0.9,0.9,11.0,0.0,548.0,532.0,548.0,1.0,,,4.0,0.6363636363636359,0.0,,,,,,,,0.9,,,,,,,,,0,26.746857571507203,1
3015701051990004,301570105199000403,3,1,57,1,5199,4,03,1,548,2,1.0,0,1.0,11.0,19.0,8.0,1.15,1.15,1.15,1.15,,10.0,38.0,100.0,2.0,2.0,,,,,,,8.0,,,,2.0,,,,0,0,1,0,,,,,,,,1,1,,,2.0,2.0,,,0,,,,,,,,,0,0.0,,,0.0,,,,,,,,,,,,,10.0,,1,1.15,1.15,11.0,0.0,548.0,532.0,548.0,1.0,,,4.0,0.45454545454545503,0.0,,,,,,,,1.15,,,,,,,1.15,,0,50.4699357194971,1
